DeviceID,GASMETERID,block_code
20378915,49760418,1032
57531789,46302164,1032
21415729,,1002
83779439,33508806,2014
83779395,33400255,2002
52131209,,2002
83604454,92337922,2002
52210332,40468101,2002
52173785,41119972,2002
83779393,52194519,2002
20380402,49747341,3003
31043167,90971652,3003
52300943,,3003
31048386,49747202,3003
31048387,,3003
31048402,90974835,3003
31043159,,3003
20379066,90974885,3003
20379065,92351369,3003
31043099,90974650,3003
31048398,,3003
31773050,,1014
21654904,92253125,1014
85117626,46264304,1012
84260048,46263948,1012
85117627,46264294,1012
85117146,,1012
84260050,46264380,1012
85117628,46261663,1012
84260049,46264062,1012
84260051,46264374,1012
85117625,46263979,1012
69525016,40474860,1022
21654923,,1022
31772245,,2011
83769859,46335168,2009
55970221,,2024
30129409,97064097,1000
31806390,,4001
83769452,,2031
57059541,,4001
57059599,,4001
56506633,,4001
56506610,,4001
56506613,,4001
56506614,,4001
31806393,,4001
57059530,90009478,4001
56506612,,4001
18203450,,4001
83769717,,2004
56288865,92351802,3010
29619028,46302463,3010
31051843,49755490,3010
20376855,92337686,3010
52300891,46260414,3010
20376889,54363591,3010
31801042,46335062,3010
52061733,49760483,3010
57059377,90971610,3010
52062028,,3010
31801805,,1008
31801804,40474864,1008
31801833,40490260,1008
28779372,,1008
28779377,46302388,1008
5827498,40483317,1008
31801788,,1008
31801143,,1008
31806514,,2002
28779569,,1008
31804232,,1008
83769450,93259225,1008
31802014,49747059,1008
31801890,90971637,1008
31806336,90974892,2002
31051293,49746849,1008
31801574,90972299,1008
83769461,,3003
83779414,92337703,2014
20376039,56364814,3002
56763158,54443928,3002
31805989,49767836,3002
18203630,,4000
18203835,46261741,4000
18203631,,4000
20378405,46335379,3002
31801976,46301895,3002
31801975,46301910,3002
31801977,,3002
20379598,46264104,3002
31801974,46301137,3002
31048138,40474505,3002
31801978,56356171,3002
31806161,49767809,3002
31005318,46300263,3002
56976536,94746121,4003
20377582,94746264,4003
31804769,92337821,4002
20380938,49761076,4003
20379694,33419485,4003
56504315,,4002
18019473,46301656,4002
31033976,49760855,4003
28013027,40474851,4003
28013085,40474609,4003
20378916,46263747,4001
20379036,54356360,4003
31804223,46345364,4002
31801281,,4002
30978883,94746127,4002
31801034,49761832,4003
31045085,,4006
31045087,,4006
31045088,,4006
31806349,35612225,4005
30525867,,3006
18203851,49768576,3006
18203837,49768544,3006
18204752,46335377,3006
52298110,46335367,3006
31045105,35569152,4005
20376639,,4006
31801626,,4006
31048913,54458074,3006
31048918,,3006
31048961,56356759,3006
31048962,,3006
20381027,33466481,3007
20380396,90971788,3007
20378270,90971792,3007
20381026,90971786,3007
20381024,90971780,3007
20376997,,4006
56763256,35527665,4005
56763286,35570837,3006
56763248,,3006
56763257,35570816,4005
31805984,,3006
20377074,,3006
31805962,,3006
18203861,54354582,3006
31803071,46301537,3001
20376918,33418704,4003
20380351,49768324,3001
31803067,40487846,3001
31804504,56356991,3011
20380354,49755779,3001
31803068,90953581,3001
31809135,49767800,3001
31809133,56356147,3001
29026232,,3001
20381052,,3001
20376920,54457939,3011
31804847,46335047,3011
20380632,54363652,3001
31051852,40474732,3001
31800080,46264135,3001
31800090,54362828,3001
56764270,92351647,3011
28356524,,3001
31809136,56356951,3001
20376629,49768680,3001
20381051,97048948,3001
31803202,,3001
31801973,54458035,3001
31804848,46263531,3011
18019535,,3001
31804071,56351954,2006
20377671,33489839,2006
20379001,54337922,2006
20378999,40474048,2006
20377672,49756231,2001
31804061,49756236,2001
31801827,54460065,2006
31801834,,2006
20379618,54356269,2001
20176460,46301272,2001
20377743,46301246,2001
31804052,35567479,2001
31804067,,2001
31805854,,2001
20376990,,2006
52300837,35609114,2001
31804064,56364685,2001
31804074,35609112,2001
20376995,35569440,2001
31806111,,1011
30524923,35564295,1011
18039042,,1011
17940716,46264141,1011
18039233,,1011
18039040,46264147,1011
17940717,46264186,1011
18039037,46264373,1011
18039038,46264290,1011
18039232,46264362,1011
18039025,33418882,1011
18039505,40475269,1011
31805109,46196107,1011
31801865,49769089,1011
31806515,54460139,1011
31802092,,1011
31806519,,1011
31806502,,1011
31806518,,1011
83769747,92337921,1019
83769749,,1016
83769768,,1019
83769770,97049241,1019
31809112,,5008
31809111,,5008
20378261,56354809,5008
20378311,,5008
83769468,,5004
56763225,35568948,5008
31804887,,5008
30387661,46302286,3002
30524686,46263724,3002
30524674,90008660,3002
30524675,46335044,3002
30524679,46335186,3002
30524688,46263670,3002
30527419,49756053,3002
30524680,46335111,3002
30524677,49761326,3002
30524860,49755810,3002
30524887,49768715,3002
30729221,46363485,3002
30387660,40474199,3002
57059410,,3002
83779307,92337599,2001
83779471,41658882,2015
11209461,,1008
77133732,56754608,1014
29398304,,1008
56843258,,1013
84459188,90972271,1015
52086155,92351716,1014
31032659,40483033,4006
20378929,46301591,4006
31804771,,4006
20381070,33419396,4006
31804770,49761510,4008
31804780,,4008
31042923,,4008
31042922,90974920,4008
31116147,,4008
31116149,54354641,4008
31116148,,4008
31049034,90974122,4006
20381034,90974129,4006
31803207,40474653,4008
31800961,90953472,2000
83769774,97048915,2000
31802554,92338224,2000
20376020,40474744,2000
20376006,,2000
83770161,,1011
20377058,,3004
20376005,,2000
83769772,97064139,2000
83779637,,3003
29340723,49747304,2035
18039020,46300228,2035
18039224,49747538,2018
18039272,,2018
31806285,,2019
18039203,40475209,2018
18039019,,2035
18039271,,2018
18039225,,2018
28356519,90974800,2035
20176628,,2037
30726976,90971865,2035
28356521,35569582,2036
28356518,,2035
29925023,90974809,2035
20176639,35568054,2036
31806334,49746936,2036
30727211,90974810,2035
20176638,46302314,2036
56974375,,1024
30387839,,1024
56999826,97048916,3003
31116134,35567721,3003
55969101,,3003
56999868,35569691,3003
56999824,92351961,3003
56999887,,3003
56999885,97064248,3003
30524840,35568794,1016
30525879,,1016
52298115,,1016
56999839,90972367,1016
56999837,90974169,1016
30146053,,1016
31801402,90972306,1016
30525853,49747363,1016
30340874,90974324,1016
30340874,94746404,1016
31804372,,2002
57531723,,2002
57553301,,2002
57553313,35567614,2002
57553314,,2002
57532873,,2002
57533170,,2002
57531674,,2002
57553312,,2002
57531663,,2002
57529679,,2002
29085460,54341982,2002
29085472,90972073,2002
20379575,35609142,2002
20868447,,2002
31048254,35563309,2002
31801652,40474605,2002
20379082,34356186,2002
56294815,,2002
20380257,54355479,2002
31801807,54387619,2002
31806141,,2002
57529678,90972378,2002
20376608,,2002
20376630,46300528,2002
20380330,46300542,2002
31044946,49756056,2002
31033989,54362796,1005
52300818,54354569,1006
31806031,92338163,1005
31802678,,1005
20380289,54356306,1005
29924960,54460192,1006
29924951,49755499,1006
20378327,49755796,1005
31802664,40488073,1005
83769719,,3007
83770092,,1000
83770158,,1000
83770089,,1000
83770087,,1000
83770086,,1000
83770091,,1000
83770071,,1000
83770088,,1000
21654935,,2011
83779576,,2011
20336870,90971907,3002
31772811,51959455,3002
31772812,46300971,3002
31772627,90974128,3002
31772628,90971742,3002
57253301,,3002
57253310,,3002
57253280,,3002
57253279,,3002
57253314,,3002
57580324,,3002
56843328,49755683,3002
57253294,,3002
57253282,,3002
57253302,,3002
57253303,,3002
57253281,,3002
57253308,,3002
57491425,46182843,3002
56693545,54356178,3002
83779553,,1000
83770142,,1014
83769709,,1020
83770145,,1020
83769726,,1014
28013070,40488352,2003
56763630,40474491,2003
